4	13	13	0	93	52	85	51
4	13	13	1	93	101	48	29
4	13	13	2	128	73	54	56
4	13	13	0	123	46	76	26
4	13	13	1	111	58	73	79
4	13	13	2	110	124	82	85
4	13	13	0	105	69	62	75
4	13	13	1	118	85	78	70
4	13	13	2	100	103	80	108
4	13	13	0	110	72	61	58
4	13	13	1	92	79	95	75
4	13	13	2	97	81	106	77
4	13	13	0	63	78	62	58
4	13	13	1	61	64	95	61
4	13	13	2	73	68	137	93
4	13	13	0	82	39	35	25
4	13	13	1	124	58	90	49
4	13	13	2	92	95	85	79
4	13	13	0	113	36	66	56
4	13	13	1	86	77	103	65
4	13	13	2	116	88	77	90
4	13	13	0	119	57	69	66
4	13	13	1	96	37	81	67
4	13	13	2	102	75	98	86
4	13	13	0	79	30	57	35
4	13	13	1	94	69	71	57  
4	13	13	2	99	80	63	69
4	13	13	0	81	53	51	46
4	13	13	1	96	95	93	57
4	13	13	2	125	83	60	83
4	13	13	0	78	64	45	44
4	13	13	1	84	77	64	76
4	13	13	2	94	97	65	95
4	13	13	0	71	49	60	61
4	13	13	1	51	67	99	94
4	13	13	2	92	85	81	83
